row_type,node_id,text_label,params,next_node
NODE,start,"「あの屋敷には近づくなと何度言っても、子供らが肝試しに行きおる」","{""bg"":""bg_yato_city"",""bgm"":""bgm_quest_calm"",""speaker_name"":""代官"",""type"":""text""}",start_02
NODE,start_02,"「先月から怪光が酷くなってな。冒険者の手を借りたい」","{""bg"":""bg_yato_city"",""bgm"":""bgm_quest_calm"",""speaker_name"":""代官"",""type"":""text""}",start_03
NODE,start_03,"代官の話では、旧領主・影守は三年前の政変で切腹を命じられたという。","{""bg"":""bg_yato_city"",""bgm"":""bgm_quest_calm"",""type"":""text""}",start_04
NODE,start_04,"以来、屋敷は封印され、影守の一族の行方も知れぬままだ。依頼を引き受け、山裾へ向かう。","{""bg"":""bg_yato_city"",""bgm"":""bgm_quest_calm"",""type"":""text""}",arrive_01
NODE,arrive_01,"鬱蒼とした木々の先に、朽ちかけた門が見えた。門扉は半開きで、夕暮れの風に軋む。","{""bg"":""bg_yato_den"",""bgm"":""bgm_quest_tense"",""type"":""text""}",arrive_02
NODE,arrive_02,"庭は雑草に覆われ、かつての枯山水の面影は消えている。屋敷の窓から微かな青い光が漏れる。","{""bg"":""bg_yato_den"",""bgm"":""bgm_quest_tense"",""type"":""text""}",arrive_03
NODE,arrive_03,"背筋に冷たいものが走る。だが引き返すわけにはいかない。覚悟を決めて、玄関を押し開けた。","{""bg"":""bg_yato_den"",""bgm"":""bgm_quest_tense"",""type"":""text""}",explore_01
NODE,explore_01,"床板が軋む音だけが響く。埃の積もった廊下に、不自然な足跡が続いている。","{""bg"":""bg_yato_den"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",explore_02
NODE,explore_02,"足跡は素足だ。しかも、指は五本あるが爪痕が異様に深い。人間のものではない。","{""bg"":""bg_yato_den"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",explore_03
NODE,explore_03,"足跡を辿ると、奥座敷へと続く渡り廊下に出た。だが渡り廊下の中央で床が崩落している。","{""bg"":""bg_yato_den"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",trap_01
NODE,trap_01,"腐った床板を踏み抜いた！ 足を切りながらも、なんとか反対側に飛び移る。","{""bg"":""bg_yato_den"",""bgm"":""bgm_quest_tense"",""type"":""hp_damage"",""percent"":15,""hp_percent"":15}",trap_02
NODE,trap_02,"足から血が滲む。だが傷は浅い。先に進めそうだ。","{""bg"":""bg_yato_den"",""bgm"":""bgm_quest_tense"",""type"":""text""}",explore_04
NODE,explore_04,"奥座敷に辿り着く。襖は全て破れ、畳が捲れ上がっている。壁の掛け軸だけが無傷で残っていた。","{""bg"":""bg_yato_den"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",explore_05
NODE,explore_05,"掛け軸の裏に何かがある——と思った瞬間、背後から低い唸り声が聞こえた。振り返ると、怨霊が！","{""bg"":""bg_yato_den"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",battle_01
NODE,battle_01,"","{""bg"":""bg_yato_den"",""bgm"":""bgm_battle"",""enemy_group_id"":450,""type"":""battle""}",
CHOICE,,win,,inner_01
CHOICE,,lose,,end_failure
NODE,inner_01,"怨霊を退けた。掛け軸の裏を確認すると、隠し扉があった。その先に地下への階段が続いている。","{""bg"":""bg_yato_den"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",inner_02
NODE,inner_02,"地下は予想外に広かった。壁に松明の跡が残っているが、今は闇に沈んでいる。","{""bg"":""bg_yato_shrine"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",inner_03
NODE,inner_03,"松明に火を灯すと、壁一面に無数の名前が刻まれていた。影守の一族の名だ。","{""bg"":""bg_yato_shrine"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",inner_04
NODE,inner_04,"名前の下には「無念」「恨」「偽」と血で書かれた文字。彼らは冤罪だったのか……？","{""bg"":""bg_yato_shrine"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",clue_01
NODE,clue_01,"地下室の最奥に祭壇がある。祭壇の上に古びた巻物と、一振りの短刀が置かれていた。","{""bg"":""bg_yato_shrine"",""bgm"":""bgm_quest_tense"",""type"":""text""}",clue_02
